File,R0_mOhm,R1_mOhm,C1_F,tau_s,RMSE_mV,MAE_mV,R2,MaxErr_mV,MAPE_pct,SOC_start_pct,SOC_end_pct,DoD_pct,Duration_min,n_samples,elapsed_s,Q_nom_Ah
00739.csv,82.546,17.568,865.55,15.206,10.898,7.324,0.997417,94.569,0.2216,100.0,13.66,86.34,52.43,334,29.3,2.0
00741.csv,83.481,16.628,901.14,14.984,11.429,7.307,0.997064,113.381,0.2208,100.0,14.83,85.17,51.71,327,29.5,2.0
00743.csv,82.423,17.693,850.6,15.05,12.925,8.152,0.996426,127.013,0.2478,100.0,15.27,84.73,51.45,323,24.2,2.0
00745.csv,82.432,17.684,845.58,14.954,13.061,8.183,0.996352,130.223,0.2488,100.0,15.68,84.32,51.21,320,26.1,2.0
00747.csv,81.612,18.51,800.01,14.808,13.749,8.557,0.996055,136.363,0.2604,100.0,15.86,84.14,51.1,317,25.4,2.0
00751.csv,93.563,6.473,1429.41,9.253,1.392,1.092,0.999902,4.532,0.0301,100.0,27.45,72.55,44.11,272,29.3,2.0
00753.csv,82.469,17.647,816.57,14.41,12.412,7.798,0.996809,121.815,0.2363,100.0,16.54,83.46,50.69,311,22.5,2.0
00755.csv,81.653,18.468,780.51,14.415,13.347,8.363,0.99641,129.824,0.2544,100.0,16.79,83.21,50.54,308,22.6,2.0
00757.csv,83.366,16.743,846.19,14.168,11.208,7.142,0.997304,110.072,0.2156,100.0,17.48,82.52,50.13,304,26.6,2.0
00759.csv,83.089,17.024,840.7,14.312,11.952,7.583,0.997019,116.338,0.2298,100.0,17.82,82.18,49.92,301,26.7,2.0
00763.csv,82.586,17.531,816.44,14.313,12.56,7.925,0.996771,121.572,0.2408,100.0,17.92,82.08,49.86,299,26.0,2.0
00765.csv,82.532,17.585,800.52,14.077,12.508,7.886,0.996818,121.311,0.2395,100.0,18.29,81.71,49.64,296,27.2,2.0
00767.csv,82.927,17.188,818.37,14.066,12.235,7.732,0.996929,118.404,0.2347,100.0,18.68,81.32,49.4,293,25.4,2.0
00769.csv,82.597,17.52,801.69,14.046,12.6,7.932,0.996804,121.68,0.2411,100.0,18.89,81.11,49.28,291,26.6,2.0
00771.csv,83.268,16.844,828.1,13.949,11.703,7.433,0.997187,112.8,0.2252,100.0,19.29,80.71,49.04,288,27.5,2.0
00775.csv,82.411,17.708,791.43,14.015,12.853,8.092,0.996716,122.617,0.2465,100.0,19.4,80.6,48.97,286,24.2,2.0
00777.csv,83.571,16.541,833.0,13.778,11.381,7.24,0.997348,109.166,0.2193,100.0,19.81,80.19,48.73,283,26.3,2.0
00779.csv,84.377,15.727,853.83,13.428,10.291,6.629,0.997784,97.721,0.1999,100.0,20.18,79.82,48.51,281,27.4,2.0
00781.csv,84.024,16.083,835.97,13.445,10.694,6.885,0.997635,100.775,0.2081,100.0,20.56,79.44,48.27,278,23.8,2.0
00783.csv,83.997,16.112,839.06,13.519,11.059,7.083,0.997524,103.216,0.2145,100.0,20.78,79.22,48.15,270,22.3,2.0
00787.csv,82.425,17.695,781.7,13.832,12.598,7.96,0.996866,117.589,0.2426,100.0,19.81,80.19,48.74,278,25.8,2.0
00791.csv,82.125,17.997,766.88,13.801,13.123,8.213,0.996654,124.008,0.2501,100.0,20.07,79.93,48.58,276,25.6,2.0
00793.csv,82.97,17.145,785.71,13.471,12.081,7.597,0.997113,115.261,0.2303,100.0,20.52,79.48,48.3,273,23.9,2.0
00795.csv,83.693,16.418,808.99,13.282,11.179,7.099,0.997502,105.8,0.2147,100.0,21.04,78.96,47.99,270,21.9,2.0
00797.csv,82.893,17.224,784.35,13.51,12.479,7.86,0.997027,117.018,0.2393,100.0,21.34,78.66,47.81,268,24.0,2.0
00799.csv,82.589,17.531,775.4,13.594,13.108,8.202,0.996782,122.907,0.2507,100.0,21.64,78.36,47.63,266,28.3,2.0
00803.csv,84.315,15.793,833.27,13.159,10.506,6.713,0.997789,98.717,0.2029,100.0,21.86,78.14,47.5,264,22.6,2.0
00805.csv,84.319,15.788,825.2,13.029,10.512,6.718,0.99782,98.068,0.203,100.0,22.07,77.93,47.37,262,21.7,2.0
00807.csv,84.642,15.462,831.41,12.856,10.021,6.461,0.998025,92.662,0.1951,100.0,22.43,77.57,47.15,260,25.8,2.0
00809.csv,83.941,16.169,803.31,12.989,11.059,7.036,0.99774,102.702,0.2137,100.0,22.42,77.58,47.16,259,28.1,2.0
00811.csv,83.683,16.43,788.39,12.953,11.591,7.334,0.997549,107.634,0.2238,100.0,23.0,77.0,46.81,256,25.1,2.0
00815.csv,84.46,15.647,820.25,12.834,10.569,6.755,0.997902,97.955,0.2055,100.0,23.3,76.7,46.63,254,22.5,2.0
00817.csv,85.067,15.036,849.92,12.779,9.927,6.378,0.998121,91.742,0.1934,100.0,23.55,76.45,46.48,252,21.7,2.0
00819.csv,84.978,15.126,836.09,12.647,10.078,6.462,0.998119,92.993,0.1965,100.0,23.92,76.08,46.25,250,22.8,2.0
00821.csv,85.809,14.288,866.22,12.377,9.001,5.875,0.998482,82.115,0.1781,100.0,24.54,75.46,45.88,247,24.3,2.0
00823.csv,86.205,13.892,899.28,12.493,8.744,5.741,0.998578,79.155,0.1741,100.0,24.92,75.08,45.65,245,26.4,2.0
00827.csv,84.898,15.209,839.08,12.762,10.657,6.779,0.997981,98.263,0.2079,100.0,24.9,75.1,45.67,244,26.7,2.0
00829.csv,84.389,15.722,813.44,12.789,11.467,7.196,0.997714,106.752,0.2214,100.0,24.91,75.09,45.66,243,24.5,2.0
00831.csv,85.993,14.105,879.77,12.409,9.158,5.903,0.99846,84.616,0.1795,100.0,25.27,74.73,45.45,241,24.7,2.0
00833.csv,86.277,13.818,875.4,12.097,8.698,5.634,0.99862,80.0,0.1713,100.0,25.67,74.33,45.2,239,24.8,2.0
00835.csv,85.447,14.656,847.88,12.426,10.246,6.463,0.998195,95.197,0.1988,100.0,26.06,73.94,44.97,237,24.3,2.0
00952.csv,60.94,39.252,523.52,20.549,7.344,6.128,0.999142,42.003,0.1816,100.0,22.79,77.21,93.48,455,40.0,2.0
00956.csv,60.306,39.904,582.47,23.242,6.834,5.526,0.999313,36.324,0.1598,100.0,21.41,78.59,95.05,461,50.0,2.0
00958.csv,58.251,41.965,528.71,22.187,9.34,7.291,0.998755,60.342,0.2177,100.0,21.9,78.1,94.47,457,40.6,2.0
00960.csv,61.209,38.984,544.23,21.217,8.867,6.787,0.998899,59.56,0.2038,100.0,22.38,77.62,93.9,453,39.4,2.0
00962.csv,57.81,42.424,558.84,23.708,6.95,5.596,0.999314,34.859,0.1612,100.0,23.27,76.73,92.83,446,39.6,2.0
00964.csv,64.938,35.233,563.59,19.857,8.541,6.66,0.999,54.026,0.2005,100.0,23.66,76.34,92.36,443,38.1,2.0
00968.csv,56.509,43.734,538.43,23.547,7.487,6.219,0.999198,30.126,0.1807,100.0,24.55,75.45,91.28,436,47.3,2.0
00970.csv,52.938,47.332,510.6,24.168,7.614,6.447,0.999213,26.811,0.1854,100.0,24.95,75.05,90.81,433,39.2,2.0
00972.csv,54.794,45.465,525.1,23.874,9.078,7.506,0.998872,50.879,0.2208,100.0,25.52,74.48,90.13,424,38.8,2.0
00974.csv,73.748,26.372,649.97,17.141,9.006,6.873,0.998952,56.058,0.2102,100.0,26.02,73.98,89.51,424,34.5,2.0
00976.csv,71.17,28.972,659.39,19.104,8.22,6.583,0.999112,44.209,0.1982,100.0,26.72,73.28,88.68,419,35.4,2.0
00980.csv,59.373,40.856,553.47,22.613,10.874,8.906,0.998474,57.583,0.2692,100.0,27.21,72.79,88.09,415,39.6,2.0
00982.csv,77.48,22.611,608.82,13.766,7.724,6.368,0.99924,41.825,0.1918,100.0,27.85,72.15,87.33,410,31.1,2.0
00984.csv,72.465,27.659,579.23,16.021,7.591,6.442,0.999269,32.642,0.1913,100.0,28.59,71.41,86.45,405,33.6,2.0
