Voltage_measured,Current_measured,Temperature_measured,Current_charge,Voltage_charge,Time
3.252719283,-0.002306137,10.14559378,-0.0006,0.002,0
3.500438725,1.490410125,10.11128318,1.4995,4.402,2.578
3.556958411,1.490457533,10.08448953,1.4995,4.491,8.968
3.593446682,1.49058038,10.0309003,1.4995,4.517,15.281
3.624123984,1.491284261,9.951096686,1.4995,4.555,21.609
3.651046513,1.492080769,9.887332144,1.4995,4.58,27.89
3.675045085,1.492705512,9.843658841,1.4995,4.605,34.187
3.69699237,1.490219241,9.778250916,1.4995,4.631,40.484
3.71701308,1.489964198,9.734717433,1.4995,4.643,46.781
3.735439007,1.491912268,9.660352944,1.4995,4.669,53.062
3.75253695,1.491260437,9.613424813,1.4995,4.681,59.359
3.768575392,1.490487232,9.540883458,1.4995,4.694,65.64
3.783709966,1.489608269,9.486424653,1.4995,4.707,71.937
3.797726897,1.490930468,9.478507183,1.4995,4.719,78.203
3.811144891,1.49143083,9.403174033,1.4995,4.745,84.484
3.823560775,1.489602617,9.37192142,1.4995,4.757,90.765
3.83544885,1.492093436,9.302370941,1.4995,4.757,97.031
3.846878933,1.490763498,9.276527511,1.4995,4.77,103.312
3.857657103,1.491502522,9.236318416,1.4995,4.783,109.578
3.867535715,1.489683521,9.191893258,1.4995,4.796,115.843
3.877010063,1.489375574,9.131693897,1.4995,4.808,122.125
3.886167135,1.49083807,9.10134862,1.4995,4.821,128.39
3.894588025,1.491812437,9.051298879,1.4995,4.821,134.656
3.902719005,1.490516862,9.010594487,1.4995,4.834,140.953
3.909967256,1.491386509,8.985640578,1.4995,4.834,147.218
3.917375373,1.491161318,8.944671963,1.4995,4.846,153.89
3.923911938,1.490577151,8.914201233,1.4995,4.846,160.265
3.930202754,1.490934331,8.895322088,1.4995,4.859,166.64
3.935840666,1.490563301,8.873915964,1.4995,4.859,173.093
3.941261362,1.490513497,8.853917924,1.4995,4.859,179.468
3.946053546,1.492988454,8.793562433,1.4995,4.872,185.921
3.950705899,1.491405064,8.770765615,1.4995,4.872,192.312
3.954897913,1.492189806,8.746856174,1.4995,4.872,198.765
3.958499043,1.490162458,8.729730154,1.4995,4.884,205.171
3.962049343,1.491271551,8.692787049,1.4995,4.884,211.546
3.965346061,1.492493563,8.669681538,1.4995,4.884,217.984
3.968385453,1.491545981,8.639176776,1.4995,4.897,224.39
3.971092143,1.490875834,8.616813218,1.4995,4.897,230.828
3.974069893,1.491878835,8.603639978,1.4995,4.897,237.234
3.97654622,1.492051776,8.58148008,1.4995,4.897,243.625
