Folder,File,C_th_J_K,hA_W_K,T_amb_C,R_ohm,RMSE_C,MAE_C,R2,MaxErr_C,MAPE_pct
charge,00118.csv,500.0,0.135518,4.682,0.08,0.5622,0.4745,0.7386,1.4035,7.9806
discharge,00049.csv,68.4081,0.005443,6.319,0.08,0.6577,0.5436,0.7818,1.6907,6.7773
charge,00123.csv,65.4017,0.019565,4.53,0.08,0.6683,0.5585,0.4546,1.692,9.6404
charge,00087.csv,66.3717,0.027983,4.884,0.08,0.613,0.509,0.5987,1.6044,8.3816
discharge,00143.csv,61.9864,0.001,6.342,0.08,0.7471,0.6048,0.7877,1.7331,7.1912
charge,00135.csv,83.6504,0.021521,4.666,0.08,0.6206,0.5184,0.4535,1.6645,8.9475
charge,00024.csv,500.0,0.141569,4.83,0.08,0.5829,0.4815,0.7248,1.7582,7.837
discharge,00043.csv,51.2845,0.011833,5.885,0.08,0.7815,0.6174,0.7207,1.6318,7.6514
discharge,00163.csv,56.6482,0.001,6.543,0.08,0.5445,0.4499,0.8909,1.243,5.115
discharge,00155.csv,40.8337,0.023912,5.275,0.08,0.4815,0.3922,0.7139,1.2018,6.1034
discharge,00179.csv,56.1689,0.002137,6.711,0.08,0.5573,0.4649,0.8774,1.2979,5.3719
discharge,00159.csv,54.9642,0.001716,6.708,0.08,0.6018,0.4964,0.8652,1.3771,5.6867
charge,00096.csv,500.0,0.167145,4.797,0.08,0.6586,0.5275,0.6477,2.4291,8.5463
charge,00128.csv,500.0,0.159872,4.602,0.08,0.6516,0.5418,0.6897,1.5878,9.1919
discharge,00093.csv,53.7286,0.007402,6.194,0.08,0.8547,0.6728,0.7056,1.946,8.0265
charge,00104.csv,500.0,0.125571,4.492,0.08,0.635,0.5341,0.7048,1.5662,9.1276
discharge,00011.csv,55.8737,0.016709,6.094,0.08,0.8538,0.6607,0.5828,2.0109,8.4629
charge,00144.csv,500.0,0.151048,4.815,0.08,0.6042,0.5075,0.744,1.5828,8.3451
discharge,00065.csv,74.4029,0.001933,6.251,0.08,0.6075,0.5088,0.8173,1.5658,6.1971
charge,00126.csv,500.0,0.152146,4.725,0.08,0.6004,0.504,0.7179,1.5305,8.453
discharge,00007.csv,114.8619,0.001,5.79,0.08,0.7764,0.6416,0.699,1.85,8.3747
charge,00146.csv,500.0,0.179098,5.105,0.08,0.5046,0.4226,0.8204,1.4197,6.6952
discharge,00009.csv,48.8761,0.017729,5.9,0.08,0.9062,0.7157,0.5666,1.8941,9.1864
discharge,00131.csv,32.29,0.013965,5.792,0.08,0.8644,0.6997,0.7005,2.0033,8.7648
discharge,00125.csv,57.2952,0.001125,6.299,0.08,0.7668,0.622,0.7867,1.9584,7.3907
charge,00042.csv,500.0,0.138767,4.77,0.08,0.5593,0.4684,0.7747,1.4286,7.7197
charge,00080.csv,500.0,0.146168,4.689,0.08,0.5775,0.4781,0.7225,1.5622,8.0557
discharge,00039.csv,44.2639,0.016381,6.034,0.08,0.8351,0.6524,0.649,1.7351,8.2181
charge,00132.csv,500.0,0.144969,4.519,0.08,0.6385,0.5273,0.7125,1.609,8.9903
charge,00066.csv,500.0,0.144599,4.591,0.08,0.6487,0.5368,0.6567,2.1036,9.0508
discharge,00103.csv,59.617,0.003707,6.382,0.08,0.7947,0.6343,0.7426,1.8154,7.5334
discharge,00045.csv,45.7493,0.015577,6.132,0.08,0.8053,0.6193,0.6721,1.7943,7.7296
charge,00026.csv,500.0,0.175271,4.877,0.08,0.6916,0.5447,0.6238,2.6616,8.6318
charge,00010.csv,500.0,0.159884,4.591,0.08,0.7104,0.5959,0.6634,2.125,9.6734
charge,00083.csv,71.3425,0.024134,4.698,0.08,0.5906,0.4913,0.5852,1.5633,8.2983
discharge,00079.csv,69.0472,0.002593,6.14,0.08,0.5557,0.4716,0.8552,1.329,5.755
